transaction_date,invoice_no,item_desc,final_price,no_of_items,region
2023-05-17T00:00:00Z,SHP500103,Stationery Set,₹454.17,3,Jaipur
2023-11-07T00:00:00Z,SHP500104,Kitchen Gadget,₹485.68,1,Mumbai
2023-10-18T00:00:00Z,SHP500105,Stationery Set,Rs. 556,3,Surat
2023-11-10T00:00:00Z,SHP500106,Kitchen Gadget,Rs. 148,1,Mumbai
2023-04-29T00:00:00Z,SHP500107,Kitchen Gadget,₹199.63,3,Delhi
2023-11-02T00:00:00Z,SHP500108,Kitchen Gadget,Rs. 489,1,Mumbai
2023-04-29T00:00:00Z,SHP500109,Home Decor Item,Rs. 164,1,Kolkata
2023-04-29T00:00:00Z,SHP500110,Stationery Set,499,3,Delhi
2023-12-18T00:00:00Z,SHP500111,Stationery Set,324,1,Jaipur
2023-01-14T00:00:00Z,SHP500112,Stationery Set,287,1,Delhi
2023-07-03T00:00:00Z,SHP500113,Home Decor Item,375,1,Surat
2023-02-10T00:00:00Z,SHP500114,Home Decor Item,189,3,Ahmedabad
2023-12-19T00:00:00Z,SHP500115,Kitchen Gadget,449,3,Pune
2023-09-02T00:00:00Z,SHP500116,Home Decor Item,553,1,Hyderabad
2023-03-10T00:00:00Z,SHP500117,Phone Case,454,1,Indore
2023-09-15T00:00:00Z,SHP500118,Phone Case,₹320.42,3,Chennai
2023-11-06T00:00:00Z,SHP500119,Phone Case,₹165.44,3,Chennai
2023-08-29T00:00:00Z,SHP500120,Stationery Set,170,1,Hyderabad
2023-12-31T00:00:00Z,SHP500121,Phone Case,190,1,Mumbai
2023-11-29T00:00:00Z,SHP500122,Home Decor Item,₹348.53,1,Mumbai
2023-07-11T00:00:00Z,SHP500123,Stationery Set,364,2,Lucknow
2023-04-05T00:00:00Z,SHP500124,Stationery Set,₹454.21,3,Delhi
2023-07-18T00:00:00Z,SHP500125,Phone Case,₹134.48,2,Mumbai
2023-09-09T00:00:00Z,SHP500126,Kitchen Gadget,507,3,Lucknow
2023-08-31T00:00:00Z,SHP500127,Kitchen Gadget,₹433.33,3,Surat
2023-03-12T00:00:00Z,SHP500128,Home Decor Item,311,3,Hyderabad
2023-03-25T00:00:00Z,SHP500129,Phone Case,₹207.23,3,Lucknow
2023-04-09T00:00:00Z,SHP500130,Home Decor Item,Rs. 500,3,Surat
2023-04-26T00:00:00Z,SHP500131,Kitchen Gadget,314,3,Delhi
2023-01-17T00:00:00Z,SHP500132,Kitchen Gadget,348,3,Indore
2023-07-29T00:00:00Z,SHP500133,Phone Case,396,2,Delhi
2023-01-08T00:00:00Z,SHP500134,Kitchen Gadget,240,1,Delhi
2023-05-19T00:00:00Z,SHP500135,Kitchen Gadget,Rs. 316,1,Lucknow
2023-07-31T00:00:00Z,SHP500136,Kitchen Gadget,454,2,Bangalore
2023-04-24T00:00:00Z,SHP500137,Phone Case,442,2,Kolkata
2023-12-10T00:00:00Z,SHP500138,Phone Case,443,2,Surat
2023-04-14T00:00:00Z,SHP500139,Kitchen Gadget,211,2,Surat
2023-04-15T00:00:00Z,SHP500140,Kitchen Gadget,Rs. 322,3,Lucknow
2023-02-03T00:00:00Z,SHP500141,Stationery Set,Rs. 302,1,Bangalore
2023-04-01T00:00:00Z,SHP500142,Phone Case,₹401.02,3,Delhi
2023-08-13T00:00:00Z,SHP500143,Home Decor Item,₹390.28,1,Indore
2023-11-12T00:00:00Z,SHP500144,Home Decor Item,₹368.65,1,Bangalore
2023-09-08T00:00:00Z,SHP500145,Kitchen Gadget,Rs. 646,2,Chennai
2023-12-19T00:00:00Z,SHP500146,Kitchen Gadget,315,3,Chennai
2023-06-16T00:00:00Z,SHP500147,Stationery Set,Rs. 301,2,Ahmedabad
2023-08-23T00:00:00Z,SHP500148,Stationery Set,₹211.19,3,Surat
2023-05-07T00:00:00Z,SHP500149,Phone Case,Rs. 165,1,Delhi
2023-08-07T00:00:00Z,SHP500150,Home Decor Item,204,2,Surat
2023-07-27T00:00:00Z,SHP500151,Stationery Set,264,2,Ahmedabad
2023-01-22T00:00:00Z,SHP500152,Home Decor Item,507,1,Chennai
2023-11-08T00:00:00Z,SHP500153,Stationery Set,355,1,Kolkata
2023-07-14T00:00:00Z,SHP500154,Kitchen Gadget,Rs. 373,1,Indore
2023-06-10T00:00:00Z,SHP500155,Stationery Set,Rs. 338,2,Surat
2023-07-21T00:00:00Z,SHP500156,Stationery Set,394,3,Pune
2023-11-10T00:00:00Z,SHP500157,Phone Case,518,2,Chennai
2023-10-20T00:00:00Z,SHP500158,Kitchen Gadget,Rs. 111,3,Bangalore
2023-11-01T00:00:00Z,SHP500159,Kitchen Gadget,496,2,Delhi
2023-10-02T00:00:00Z,SHP500160,Phone Case,79,2,Chennai
2023-09-26T00:00:00Z,SHP500161,Home Decor Item,353,1,Mumbai
2023-11-25T00:00:00Z,SHP500162,Kitchen Gadget,₹613.03,3,Kolkata
2023-12-27T00:00:00Z,SHP500163,Kitchen Gadget,₹431.68,2,Kolkata
2023-01-20T00:00:00Z,SHP500164,Phone Case,395,2,Pune
2023-09-24T00:00:00Z,SHP500165,Home Decor Item,₹590.23,1,Mumbai
2023-02-25T00:00:00Z,SHP500166,Kitchen Gadget,266,1,Chennai
2023-08-20T00:00:00Z,SHP500167,Phone Case,₹402.08,3,Chennai
2023-08-22T00:00:00Z,SHP500168,Kitchen Gadget,Rs. 419,2,Bangalore
2023-01-22T00:00:00Z,SHP500169,Stationery Set,287,3,Ahmedabad
2023-05-06T00:00:00Z,SHP500170,Home Decor Item,298,2,Delhi
2023-09-23T00:00:00Z,SHP500171,Stationery Set,₹284.75,3,Ahmedabad
2023-10-03T00:00:00Z,SHP500172,Home Decor Item,Rs. 360,1,Hyderabad
2023-07-22T00:00:00Z,SHP500173,Phone Case,416,2,Lucknow
2023-01-21T00:00:00Z,SHP500174,Kitchen Gadget,₹364.79,3,Kolkata
2023-10-13T00:00:00Z,SHP500175,Kitchen Gadget,435,1,Bangalore
2023-07-18T00:00:00Z,SHP500176,Phone Case,₹113.70,1,Surat
2023-09-22T00:00:00Z,SHP500177,Kitchen Gadget,324,3,Ahmedabad
2023-11-19T00:00:00Z,SHP500178,Stationery Set,₹227.19,2,Delhi
2023-01-26T00:00:00Z,SHP500179,Phone Case,386,2,Bangalore
2023-04-08T00:00:00Z,SHP500180,Stationery Set,384,1,Jaipur
2023-05-30T00:00:00Z,SHP500181,Home Decor Item,336,2,Kolkata
2023-08-14T00:00:00Z,SHP500182,Kitchen Gadget,411,2,Hyderabad
2023-07-23T00:00:00Z,SHP500183,Stationery Set,470,2,Lucknow
2023-06-05T00:00:00Z,SHP500184,Kitchen Gadget,343,1,Surat
2023-05-27T00:00:00Z,SHP500185,Home Decor Item,Rs. 224,3,Delhi
2023-08-25T00:00:00Z,SHP500186,Kitchen Gadget,₹160.25,2,Ahmedabad
2023-03-27T00:00:00Z,SHP500187,Home Decor Item,354,1,Indore
2023-08-05T00:00:00Z,SHP500188,Phone Case,379,1,Chennai
2023-05-31T00:00:00Z,SHP500189,Kitchen Gadget,₹233.66,3,Delhi
2023-11-10T00:00:00Z,SHP500190,Phone Case,437,2,Mumbai
2023-01-28T00:00:00Z,SHP500191,Home Decor Item,₹294.93,2,Delhi
2023-12-20T00:00:00Z,SHP500192,Phone Case,151,3,Delhi
2023-09-22T00:00:00Z,SHP500193,Stationery Set,₹500.77,3,Lucknow
2023-03-14T00:00:00Z,SHP500194,Phone Case,487,1,Indore
2023-08-26T00:00:00Z,SHP500195,Stationery Set,108,1,Chennai
2023-11-27T00:00:00Z,SHP500196,Home Decor Item,₹282.49,3,Ahmedabad
2023-08-20T00:00:00Z,SHP500197,Home Decor Item,278,2,Mumbai
2023-02-16T00:00:00Z,SHP500198,Kitchen Gadget,547,1,Ahmedabad
2023-09-14T00:00:00Z,SHP500199,Stationery Set,Rs. 338,1,Bangalore
